tick,agentId,energy,belief,llr,neighborsCount,speed,distanceTraveled,resourcesGathered,isSleeper
195,25,54.2,0.956,-3.069,4,2.08,368,0,1
195,26,65.5,0.895,-2.144,4,0.87,184,0,0
195,27,55.4,0.593,-0.374,6,1.32,262,0,0
195,28,56.8,0.6,-0.406,5,1.5,233,6,0
195,29,42,0.916,-2.393,1,0.73,149,0,0
195,30,56.9,0.978,-3.8,5,0.32,77,0,1
195,31,53.1,0.969,-3.439,2,1.28,274,0,1
195,32,63.6,0.883,-2.016,6,1.76,336,0,0
195,33,64.6,0.298,0.859,4,1.51,310,32,0
195,34,79.5,0.295,0.871,3,0.98,128,22,0
195,35,65.2,0.91,-2.31,5,2.03,444,33,0
195,36,42.7,0.919,-2.424,3,1.57,315,0,0
195,37,73.5,0.914,-2.365,5,2.55,428,16,0
195,38,55.2,0.917,-2.406,3,1.61,323,0,0
195,39,63.6,0.901,-2.209,3,0.92,208,0,0
195,40,56.7,0.457,0.171,4,0.78,103,0,0
195,41,58.6,0.589,-0.361,5,1.43,301,0,0
195,42,100,0.688,-0.789,3,0.84,235,174,0
195,43,53.9,0.565,-0.263,0,0.6,109,0,0
195,44,55.3,0.879,-1.981,0,2.01,417,0,0
195,45,64.3,0.589,-0.361,5,1.52,273,0,0
195,46,64.7,0.595,-0.383,3,1.49,291,9,0
195,47,79.4,0.948,-2.897,5,1.59,241,34,1
195,48,78.1,0.938,-2.718,0,0.75,169,0,1
195,49,56.4,0.917,-2.403,4,1.77,330,0,0
195,50,43.3,0.968,-3.417,6,0.62,107,0,1
200,1,77.9,0.293,0.882,2,0.82,180,0,0
200,2,57.7,0.914,-2.367,5,1.36,306,0,0
200,3,73.8,0.59,-0.366,5,1.11,141,23,0
200,4,100,0.46,0.162,4,0.63,101,48,0
200,5,72,0.584,-0.341,4,2.27,470,39,0
200,6,65.7,0.456,0.177,3,1.26,261,0,0
200,7,83.7,0.923,-2.489,3,1.09,231,47,0
200,8,51.8,0.942,-2.78,4,1.18,210,0,1
200,9,86.8,0.578,-0.314,1,1.68,278,80,0
200,10,48.6,0.899,-2.182,1,1.57,376,0,0
200,11,98,0.587,-0.35,5,1.41,308,111,0
200,12,96.6,0.631,-0.537,4,1.26,245,86,0
200,13,48.5,0.926,-2.523,1,0.7,142,0,0
200,14,46.3,0.904,-2.239,4,1.16,234,0,0
200,15,65.7,0.461,0.157,5,1.18,289,0,0
200,16,92,0.565,-0.262,3,0.78,283,79,0
200,17,66,0.906,-2.263,3,1.58,293,0,0
200,18,36.9,0.455,0.18,4,1.88,389,0,0
200,19,77.2,0.298,0.858,3,1.3,204,27,0
200,20,84.7,0.641,-0.579,3,0.78,190,58,0
200,21,64,0.581,-0.329,4,1.36,228,0,0
200,22,94.6,0.478,0.086,4,1.68,318,54,0
200,23,90.3,0.918,-2.417,3,1.36,262,46,0
200,24,75.2,0.299,0.854,4,0.92,257,31,0
200,25,53.3,0.926,-2.532,5,2.05,378,0,1
200,26,64.9,0.91,-2.316,3,0.86,188,0,0
200,27,54.7,0.596,-0.39,6,1.28,268,0,0
200,28,56,0.605,-0.427,6,1.53,241,6,0
200,29,41.4,0.92,-2.44,1,0.81,153,0,0
200,30,56.4,0.925,-2.516,5,0.33,79,0,1
200,31,52.4,0.987,-4.303,2,1.27,280,0,1
200,32,62.8,0.864,-1.85,4,1.76,345,0,0
200,33,63.9,0.298,0.858,4,1.51,318,32,0
200,34,78.9,0.298,0.857,3,1.01,133,22,0
200,35,64.2,0.915,-2.38,5,2.01,454,33,0
200,36,41.9,0.922,-2.465,3,1.57,323,0,0
200,37,72.5,0.919,-2.434,5,2.6,441,16,0
200,38,54.4,0.92,-2.442,4,1.64,331,0,0
200,39,62.9,0.909,-2.296,3,0.84,212,0,0
200,40,56.1,0.453,0.189,5,0.8,107,0,0
200,41,64.1,0.588,-0.355,6,1.43,308,6,0
200,42,99.8,0.703,-0.861,3,0.78,239,178,0
200,43,53.4,0.56,-0.243,0,0.55,112,0,0
200,44,54.4,0.874,-1.935,0,1.96,427,0,0
200,45,63.5,0.586,-0.345,5,1.49,280,0,0
200,46,71.2,0.587,-0.352,3,1.49,298,17,0
200,47,79,0.945,-2.842,5,1.6,248,34,1
200,48,77.5,0.968,-3.422,0,0.72,172,0,1
200,49,55.6,0.917,-2.401,4,1.62,338,0,0
200,50,42.8,0.926,-2.528,5,0.56,110,0,1
205,1,77.4,0.342,0.655,3,0.8,184,0,0
205,2,57,0.908,-2.284,5,1.33,313,0,0
205,3,73.2,0.588,-0.355,5,1.12,147,23,0
205,4,99.5,0.463,0.149,4,0.77,105,50,0
205,5,71,0.594,-0.38,4,2.28,481,39,0
205,6,65,0.462,0.153,3,1.26,267,0,0
205,7,83.1,0.915,-2.382,3,1.02,237,47,0
205,8,51,0.948,-2.896,4,1.22,216,0,1
205,9,86.1,0.508,-0.032,2,1.55,286,80,0
205,10,47.8,0.908,-2.285,1,1.65,384,0,0
205,11,100,0.59,-0.366,5,1.4,315,117,0
205,12,95.9,0.634,-0.547,4,1.32,251,86,0
205,13,47.9,0.922,-2.472,1,0.71,146,0,0
205,14,45.7,0.912,-2.341,4,1.18,240,0,0
205,15,65,0.469,0.126,5,1.17,294,0,0
205,16,91.3,0.556,-0.224,3,2.34,288,79,0
205,17,65.3,0.911,-2.324,3,1.53,301,0,0
205,18,36,0.463,0.149,4,1.86,399,0,0
205,19,76.4,0.291,0.892,3,1.38,211,27,0
205,20,84.1,0.639,-0.573,4,0.83,195,58,0
205,21,63.3,0.584,-0.34,4,1.34,235,0,0
205,22,94.7,0.489,0.042,4,1.65,326,55,0
205,23,89.6,0.92,-2.437,3,1.32,268,46,0
205,24,74.6,0.299,0.852,4,0.88,262,31,0
205,25,52.5,0.976,-3.719,4,1.96,388,0,1
205,26,64.3,0.91,-2.318,3,0.84,192,0,0
205,27,54,0.605,-0.426,7,1.62,276,0,0
205,28,55.4,0.608,-0.44,5,1.13,246,6,0
205,29,40.8,0.919,-2.43,2,0.87,158,0,0
205,30,56,0.975,-3.655,5,0.34,80,0,1
205,31,51.7,0.948,-2.898,1,1.27,287,0,1
205,32,62,0.868,-1.881,5,1.77,354,0,0
205,33,63.1,0.293,0.881,3,1.51,325,32,0
205,34,78.3,0.294,0.875,3,1.08,138,22,0
205,35,63.3,0.914,-2.364,4,1.98,464,33,0
205,36,41.1,0.916,-2.386,3,1.58,331,0,0
205,37,71.6,0.922,-2.476,3,2.57,454,16,0
205,38,53.6,0.914,-2.369,5,1.67,339,0,0
205,39,62.3,0.911,-2.33,4,0.75,216,0,0
205,40,55.4,0.461,0.155,5,0.9,112,0,0
205,41,69.6,0.588,-0.358,5,1.42,315,12,0
205,42,99.2,0.71,-0.895,3,0.73,243,178,0
205,43,52.8,0.71,-0.897,1,0.51,114,0,0
205,44,56.5,0.721,-0.947,1,1.9,437,3,0
205,45,62.8,0.59,-0.365,5,1.46,288,0,0
205,46,77.7,0.579,-0.319,3,1.49,306,24,0
205,47,78.2,0.974,-3.642,5,1.56,256,34,1
205,48,77,0.99,-4.591,0,0.71,176,0,1
205,49,54.8,0.911,-2.32,5,1.52,346,0,0
205,50,42.2,0.978,-3.803,5,0.55,113,0,1
210,1,76.7,0.436,0.256,1,1.47,191,0,0
210,2,56.3,0.914,-2.367,3,1.31,320,0,0
210,3,72.5,0.587,-0.352,5,1.17,153,23,0
210,4,98.9,0.477,0.093,4,0.76,108,50,0
210,5,70,0.581,-0.328,4,2.27,493,39,0
210,6,64.3,0.467,0.133,3,1.26,274,0,0
210,7,82.4,0.925,-2.513,3,0.94,241,47,0
210,8,50.3,0.923,-2.49,5,1.24,222,0,1
210,9,85.3,0.483,0.069,2,1.39,293,80,0
210,10,47,0.917,-2.402,2,1.62,392,0,0
210,11,100,0.587,-0.353,5,1.39,322,122,0
210,12,95.2,0.646,-0.604,4,1.4,258,86,0
210,13,47.3,0.92,-2.441,1,0.72,149,0,0
210,14,45.1,0.912,-2.339,4,1.2,246,0,0
210,15,64.4,0.475,0.101,5,1.16,300,0,0
210,16,90.3,0.552,-0.208,3,2.3,300,79,0
210,17,64.5,0.916,-2.394,3,1.54,309,0,0
210,18,35.2,0.468,0.129,4,1.83,408,0,0
210,19,75.7,0.295,0.873,3,1.42,218,27,0
210,20,83.5,0.647,-0.607,4,0.81,199,58,0
210,21,62.6,0.563,-0.255,4,1.32,242,0,0
210,22,93.9,0.5,-0.002,4,1.71,335,55,0
210,23,88.9,0.911,-2.327,3,1.28,275,46,0
210,24,74,0.3,0.849,3,0.85,266,31,0
210,25,51.8,0.952,-2.995,4,1.21,394,0,1
210,26,63.8,0.922,-2.474,4,0.83,197,0,0
210,27,53.2,0.607,-0.433,7,1.56,284,0,0
210,28,54.7,0.617,-0.476,5,1.17,252,6,0
210,29,40.2,0.919,-2.434,2,1.07,163,0,0
210,30,55.5,0.959,-3.163,5,0.36,82,0,1
210,31,51,0.961,-3.206,1,1.25,293,0,1
210,32,61.2,0.867,-1.872,4,1.77,363,0,0
210,33,62.3,0.291,0.89,3,1.51,333,32,0
210,34,77.6,0.296,0.868,3,1.16,144,22,0
210,35,62.4,0.917,-2.398,4,1.95,474,33,0
210,36,40.4,0.918,-2.415,3,1.36,338,0,0
210,37,70.6,0.92,-2.438,3,2.56,467,16,0
210,38,55.3,0.919,-2.435,4,1.78,348,2,0
210,39,61.7,0.918,-2.421,4,0.67,219,0,0
210,40,54.8,0.475,0.1,5,0.91,116,0,0
210,41,74.9,0.59,-0.366,5,1.36,322,18,0
210,42,98.7,0.717,-0.931,3,0.69,247,178,0
210,43,52.3,0.714,-0.915,1,0.44,116,0,0
210,44,60.7,0.712,-0.904,1,1.86,446,8,0
210,45,62,0.59,-0.365,5,1.41,295,0,0
210,46,84.1,0.581,-0.329,3,1.49,313,31,0
210,47,77.5,0.918,-2.416,4,1.55,264,34,1
210,48,76.4,0.943,-2.804,0,0.78,180,0,1
210,49,54.1,0.907,-2.272,5,1.55,354,0,0
210,50,41.7,0.936,-2.688,5,0.57,116,0,1
215,1,76,0.488,0.047,1,1.51,198,0,0
215,2,55.6,0.911,-2.327,3,1.3,326,0,0
215,3,71.8,0.598,-0.399,5,1.23,159,23,0
215,4,98.3,0.476,0.094,4,0.75,112,50,0
215,5,69,0.592,-0.373,4,2.23,504,39,0
215,6,63.6,0.466,0.136,4,1.26,280,0,0
215,7,81.8,0.919,-2.427,3,0.87,246,47,0
215,8,49.6,0.94,-2.753,5,1.27,229,0,1
215,9,84.6,0.511,-0.046,2,1.27,300,80,0
215,10,46.2,0.914,-2.358,2,1.59,400,0,0
215,11,100,0.603,-0.419,6,1.4,329,128,0
215,12,94.5,0.636,-0.557,5,1.49,265,86,0
215,13,46.7,0.918,-2.42,2,0.73,153,0,0
215,14,44.4,0.922,-2.468,4,1.21,252,0,0
215,15,63.7,0.475,0.101,5,1.15,306,0,0
215,16,89.4,0.555,-0.222,3,2.19,311,79,0
215,17,63.7,0.921,-2.461,3,1.55,317,0,0
215,18,34.5,0.474,0.105,4,1.81,417,0,0
215,19,75,0.289,0.898,3,1.39,225,27,0
215,20,82.9,0.665,-0.687,5,0.78,203,58,0
215,21,61.9,0.584,-0.34,5,1.35,248,0,0
215,22,93.1,0.49,0.04,4,1.76,343,55,0
215,23,88.2,0.921,-2.462,3,1.18,281,46,0
215,24,73.4,0.294,0.875,3,0.83,270,31,0
215,25,51.1,0.959,-3.151,3,1.12,400,0,1
215,26,63.2,0.92,-2.447,4,0.83,201,0,0
215,27,52.4,0.61,-0.446,7,1.5,292,0,0
215,28,54.1,0.614,-0.465,4,1.22,258,6,0
215,29,39.5,0.92,-2.448,2,1.09,168,0,0
215,30,55.1,0.941,-2.772,3,0.35,84,0,1
215,31,50.3,0.964,-3.294,1,1.25,300,0,1
215,32,60.3,0.824,-1.543,3,1.77,372,0,0
215,33,61.5,0.292,0.888,2,1.52,340,32,0
215,34,76.9,0.294,0.876,2,1.35,150,22,0
215,35,61.5,0.917,-2.406,3,1.54,482,33,0
215,36,39.7,0.921,-2.454,3,1.37,345,0,0
215,37,69.6,0.912,-2.334,1,2.57,479,16,0
215,38,54.5,0.918,-2.416,4,1.79,357,2,0
215,39,61.2,0.919,-2.435,4,0.59,223,0,0
215,40,54.2,0.475,0.098,5,0.93,121,0,0
215,41,80.2,0.605,-0.425,6,1.18,328,24,0
215,42,98.2,0.716,-0.926,3,0.66,250,178,0
215,43,51.7,0.637,-0.561,2,0.5,119,0,0
215,44,64.8,0.64,-0.574,3,1.95,456,13,0
215,45,61.3,0.592,-0.374,5,1.34,302,0,0
215,46,83.4,0.564,-0.257,1,1.49,321,31,0
215,47,76.8,0.962,-3.22,4,1.55,272,34,1
215,48,75.9,0.92,-2.445,0,0.76,183,0,1
215,49,53.3,0.901,-2.21,4,1.59,362,0,0
215,50,41.2,0.973,-3.574,5,0.61,119,0,1
220,1,75.4,0.552,-0.208,2,0.75,204,0,0
220,2,54.9,0.914,-2.366,4,1.3,333,0,0
220,3,71.2,0.619,-0.486,3,1.08,164,23,0
220,4,97.7,0.487,0.054,6,0.75,116,50,0
220,5,68,0.59,-0.365,4,2.13,515,39,0
220,6,62.9,0.478,0.087,4,1.26,286,0,0
220,7,81.2,0.917,-2.402,3,0.79,250,47,0
220,8,48.9,0.929,-2.576,5,1.3,235,0,1
220,9,83.9,0.551,-0.204,2,1.18,306,80,0
220,10,45.4,0.923,-2.485,2,1.57,408,0,0
220,11,99.6,0.601,-0.411,6,1.4,336,130,0
220,12,100,0.64,-0.574,5,1.63,273,94,0
220,13,46.1,0.918,-2.41,2,0.74,157,0,0
220,14,43.8,0.926,-2.532,4,1.22,258,0,0
220,15,63.1,0.479,0.084,5,1.14,312,0,0
220,16,88.5,0.517,-0.067,3,2.07,322,79,0
220,17,63,0.927,-2.535,3,1.56,324,0,0
220,18,33.7,0.473,0.107,4,1.79,426,0,0
220,19,74.2,0.293,0.88,3,1.35,232,27,0
220,20,82.3,0.672,-0.718,5,0.75,207,58,0
220,21,61.2,0.583,-0.334,6,1.13,254,0,0
220,22,92.3,0.489,0.043,4,1.73,352,55,0
220,23,87.5,0.918,-2.419,3,1.06,287,46,0
220,24,72.8,0.293,0.879,2,0.82,274,31,0
220,25,50.5,0.952,-2.992,3,1.07,405,0,1
220,26,62.6,0.924,-2.495,3,0.81,205,0,0
220,27,51.7,0.62,-0.489,7,1.43,299,0,0
220,28,53.4,0.634,-0.551,4,1.23,264,6,0
220,29,38.8,0.922,-2.473,2,1.1,174,0,0
220,30,54.6,0.953,-3,5,0.36,86,0,1
220,31,49.6,0.951,-2.973,1,1.4,306,0,1
220,32,59.5,0.802,-1.398,4,1.76,381,0,0
220,33,60.8,0.288,0.906,1,1.52,348,32,0
220,34,76.2,0.29,0.897,2,1.41,157,22,0
220,35,60.7,0.919,-2.424,2,1.57,490,33,0
220,36,39,0.921,-2.45,3,1.39,352,0,0
220,37,68.6,0.924,-2.492,1,2.6,492,16,0
220,38,53.7,0.921,-2.46,3,1.79,365,2,0
220,39,60.6,0.922,-2.472,3,0.54,225,0,0
220,40,53.6,0.478,0.087,5,0.94,126,0,0
220,41,85.7,0.601,-0.409,6,1.05,334,30,0
220,42,97.6,0.709,-0.892,3,0.64,253,178,0
220,43,51.2,0.604,-0.42,2,0.56,122,0,0
220,44,67.7,0.614,-0.463,3,2.33,467,17,0
220,45,60.6,0.596,-0.39,4,1.21,308,0,0
220,46,82.6,0.533,-0.132,1,1.48,328,31,0
220,47,76.1,0.984,-4.111,4,1.5,279,34,1
220,48,75.3,0.919,-2.434,1,0.87,187,0,1
220,49,52.5,0.898,-2.178,5,1.63,370,0,0
220,50,40.6,0.954,-3.025,5,0.63,122,0,1
225,1,74.8,0.571,-0.284,2,0.76,210,0,0
225,2,54.2,0.918,-2.42,4,1.32,339,0,0
225,3,70.5,0.637,-0.562,3,1.11,170,23,0
225,4,97.1,0.484,0.064,6,0.75,120,50,0
225,5,67.1,0.602,-0.412,5,2.05,525,39,0
225,6,62.2,0.481,0.077,4,1.26,293,0,0
225,7,80.6,0.917,-2.398,3,0.71,254,47,0
225,8,48.1,0.956,-3.088,5,1.35,242,0,1
225,9,83.2,0.573,-0.293,2,1.13,311,80,0
225,10,44.7,0.927,-2.544,2,1.54,415,0,0
225,11,98.9,0.602,-0.412,6,1.39,343,130,0
225,12,99.7,0.653,-0.633,5,1.77,282,98,0
225,13,45.4,0.924,-2.502,2,0.75,161,0,0
225,14,43.2,0.918,-2.415,4,1.23,264,0,0
225,15,62.4,0.486,0.054,5,1.14,317,0,0
225,16,87.6,0.497,0.012,3,1.98,332,79,0
225,17,62.2,0.917,-2.408,4,1.56,332,0,0
225,18,32.9,0.478,0.089,4,1.78,435,0,0
225,19,73.5,0.292,0.885,2,1.32,238,27,0
225,20,81.7,0.68,-0.752,5,0.73,210,58,0
225,21,60.5,0.59,-0.363,6,1.17,260,0,0
225,22,91.5,0.493,0.03,4,1.73,361,55,0
225,23,86.9,0.923,-2.482,3,0.93,291,46,0
225,24,72.2,0.294,0.875,2,0.81,279,31,0
225,25,49.8,0.928,-2.552,3,1.96,412,0,1
225,26,61.9,0.924,-2.502,4,1.38,212,0,0
225,27,51,0.631,-0.536,7,1.35,306,0,0
225,28,52.7,0.649,-0.615,4,1.21,270,6,0
225,29,38.2,0.923,-2.483,2,1.11,179,0,0
225,30,54.1,0.952,-2.979,5,0.35,87,0,1
225,31,48.9,0.917,-2.398,1,1.25,313,0,1
225,32,58.7,0.802,-1.399,4,1.76,389,0,0
225,33,60,0.287,0.912,0,1.53,356,32,0
225,34,75.5,0.295,0.871,2,1.42,164,22,0
225,35,59.9,0.917,-2.398,3,1.61,498,33,0
225,36,38.2,0.917,-2.408,3,1.43,359,0,0
225,37,67.6,0.926,-2.528,1,2.63,506,16,0
225,38,53,0.922,-2.469,3,1.46,372,2,0
225,39,60,0.92,-2.436,3,0.5,228,0,0
225,40,52.9,0.482,0.073,5,0.94,130,0,0
225,41,87.2,0.6,-0.406,6,1.62,341,33,0
225,42,97.1,0.708,-0.887,3,0.63,257,178,0
225,43,50.6,0.598,-0.398,2,0.61,124,0,0
225,44,72.5,0.606,-0.43,3,0.71,475,22,0
225,45,59.9,0.601,-0.41,4,1.14,314,0,0
225,46,81.9,0.504,-0.015,1,1.48,335,31,0
225,47,75.4,0.925,-2.511,5,1.47,287,34,1
225,48,74.7,0.962,-3.223,1,0.88,192,0,1
225,49,51.8,0.893,-2.127,5,1.2,376,0,0
225,50,40.1,0.939,-2.737,5,0.67,125,0,1
230,1,74.1,0.584,-0.34,2,0.76,216,0,0
230,2,53.5,0.915,-2.378,4,1.34,346,0,0
230,3,69.8,0.64,-0.576,4,1.19,176,23,0
230,4,96.5,0.484,0.064,5,0.75,123,50,0
230,5,72,0.616,-0.474,5,2.09,536,45,0
230,6,61.5,0.48,0.079,4,1.26,299,0,0
230,7,80.1,0.92,-2.439,3,0.65,257,47,0
230,8,47.4,0.966,-3.344,5,0.89,248,0,1
230,9,82.5,0.578,-0.314,2,1.1,317,80,0
230,10,43.9,0.917,-2.402,2,1.61,423,0,0
230,11,98.2,0.603,-0.419,6,1.37,350,130,0
230,12,98.8,0.657,-0.652,4,1.85,291,98,0
230,13,44.8,0.921,-2.457,2,0.75,164,0,0
230,14,42.5,0.919,-2.431,4,1.44,271,0,0
230,15,61.8,0.478,0.086,5,1.14,323,0,0
230,16,86.7,0.495,0.021,2,1.92,342,79,0
230,17,61.4,0.92,-2.449,4,1.57,340,0,0
230,18,32.1,0.487,0.054,4,1.77,444,0,0
230,19,72.8,0.292,0.884,2,1.28,245,27,0
230,20,81.1,0.694,-0.821,4,0.99,214,58,0
230,21,59.9,0.59,-0.364,5,1.22,266,0,0
230,22,90.7,0.485,0.061,4,1.78,369,55,0
230,23,86.3,0.915,-2.38,3,0.8,296,46,0
230,24,71.7,0.293,0.881,2,0.8,283,31,0
230,25,49.1,0.978,-3.816,2,1.55,420,0,1
230,26,61.2,0.922,-2.464,4,1.37,219,0,0
230,27,50.2,0.633,-0.546,7,1.77,315,0,0
230,28,59.3,0.65,-0.618,4,1.29,277,14,0
230,29,37.5,0.926,-2.532,2,1.13,185,0,0
230,30,53.7,0.922,-2.471,5,0.33,89,0,1
230,31,48.2,0.968,-3.399,1,1.26,319,0,1
230,32,57.9,0.776,-1.241,3,1.75,398,0,0
230,33,59.2,0.282,0.937,0,1.52,363,32,0
230,34,74.8,0.291,0.89,2,1.42,171,22,0
230,35,59,0.919,-2.434,3,1.66,506,33,0
230,36,37.5,0.923,-2.487,3,1.47,366,0,0
230,37,66.6,0.924,-2.492,1,2.65,519,16,0
230,38,52.3,0.921,-2.456,2,1.45,380,2,0
230,39,59.5,0.925,-2.506,3,0.44,230,0,0
230,40,52.3,0.478,0.086,5,0.96,135,0,0
230,41,86.4,0.607,-0.435,6,1.61,349,33,0
230,42,96.5,0.731,-1.001,2,1.7,262,178,0
230,43,50,0.598,-0.397,2,0.66,128,0,0
230,44,76.8,0.609,-0.442,3,0.82,479,27,0
230,45,59.3,0.609,-0.444,4,1.13,319,0,0
230,46,81.1,0.495,0.019,1,1.48,343,31,0
230,47,74.6,0.967,-3.392,5,1.58,295,34,1
230,48,74.2,0.922,-2.469,0,0.88,196,0,1
230,49,51,0.889,-2.076,5,1.38,383,0,0
230,50,39.5,0.966,-3.341,4,0.71,128,0,1
235,1,73.5,0.588,-0.354,2,1.55,222,0,0
235,2,52.8,0.913,-2.355,4,1.35,353,0,0
235,3,69.2,0.635,-0.553,4,1.22,182,23,0
235,4,95.9,0.482,0.073,5,0.73,127,50,0
235,5,72.6,0.625,-0.51,6,2.06,546,47,0
235,6,60.8,0.478,0.089,4,1.26,305,0,0
235,7,79.5,0.921,-2.459,3,0.58,260,47,0
235,8,46.8,0.99,-4.592,5,0.93,253,0,1
235,9,81.8,0.592,-0.37,2,1.08,322,80,0
235,10,43.1,0.916,-2.386,2,1.58,431,0,0
235,11,97.5,0.615,-0.469,7,1.39,357,130,0
235,12,98,0.654,-0.636,7,1.18,299,98,0
235,13,44.2,0.917,-2.4,2,0.74,168,0,0
235,14,41.8,0.922,-2.471,4,1.42,278,0,0
235,15,65.1,0.484,0.064,5,1.14,329,4,0
235,16,85.8,0.49,0.042,2,1.87,351,79,0
235,17,60.6,0.919,-2.422,4,1.58,348,0,0
235,18,31.3,0.482,0.074,4,1.76,453,0,0
235,19,72.1,0.292,0.885,2,1.25,251,27,0
235,20,80.5,0.696,-0.828,4,0.99,219,58,0
235,21,59.2,0.594,-0.382,6,1.2,272,0,0
235,22,89.9,0.479,0.086,3,1.82,378,55,0
235,23,85.7,0.919,-2.426,3,0.69,299,46,0
235,24,71.1,0.294,0.877,2,0.8,287,31,0
235,25,48.3,0.962,-3.242,2,1.47,428,0,1
235,26,60.5,0.919,-2.425,4,1.35,225,0,0
235,27,49.4,0.628,-0.525,7,1.73,324,0,0
235,28,66,0.654,-0.637,5,1.28,283,21,0
235,29,36.8,0.922,-2.466,1,1.17,191,0,0
235,30,53.2,0.986,-4.219,5,0.33,91,0,1
235,31,47.5,0.942,-2.783,1,1.42,326,0,1
235,32,57.1,0.732,-1.005,2,1.74,407,0,0
235,33,58.4,0.277,0.962,0,1.52,371,32,0
235,34,74.1,0.297,0.862,2,1.42,178,22,0
235,35,58.2,0.915,-2.376,3,1.71,515,33,0
235,36,36.8,0.919,-2.426,3,1.51,374,0,0
235,37,65.6,0.92,-2.449,1,2.65,532,16,0
235,38,51.5,0.917,-2.408,1,1.45,387,2,0
235,39,58.8,0.92,-2.439,3,1.35,235,0,0
235,40,51.6,0.482,0.071,4,0.96,140,0,0
235,41,85.7,0.612,-0.455,6,1.5,357,33,0
235,42,95.7,0.713,-0.909,2,1.63,270,178,0
235,43,49.4,0.601,-0.411,1,0.7,131,0,0
235,44,76.2,0.604,-0.42,3,0.88,484,27,0
235,45,58.6,0.608,-0.44,5,1.02,325,0,0
235,46,80.4,0.491,0.035,1,1.48,350,31,0
235,47,73.9,0.925,-2.517,5,1.56,303,34,1
235,48,73.6,0.92,-2.446,0,0.87,200,0,1
235,49,50.3,0.913,-2.353,4,1.39,390,0,0
235,50,38.9,0.965,-3.321,4,0.71,132,0,1
240,1,72.9,0.601,-0.408,2,0.75,228,0,0
240,2,52,0.925,-2.517,4,1.36,359,0,0
240,3,68.5,0.637,-0.563,4,1.26,188,23,0
240,4,95.4,0.484,0.062,5,0.71,131,50,0
240,5,71.7,0.631,-0.535,7,2.05,556,47,0
240,6,60.1,0.479,0.084,4,1.24,311,0,0
240,7,79,0.923,-2.478,4,0.53,263,47,0
240,8,46.1,0.971,-3.502,5,0.99,257,0,1
240,9,81.1,0.601,-0.409,3,1.06,328,80,0
240,10,42.3,0.921,-2.461,2,1.55,439,0,0
240,11,96.8,0.623,-0.503,7,1.39,364,130,0
240,12,97.3,0.655,-0.642,7,1.22,305,98,0
240,13,43.6,0.918,-2.417,2,0.71,172,0,0
240,14,41.1,0.918,-2.411,3,1.4,285,0,0
240,15,71.3,0.488,0.046,5,1.14,335,11,0
240,16,85,0.489,0.046,2,1.73,360,79,0
240,17,59.8,0.921,-2.458,4,1.58,356,0,0
240,18,30.5,0.479,0.084,4,1.75,461,0,0
240,19,71.5,0.292,0.884,2,1.22,257,27,0
240,20,79.9,0.681,-0.756,4,0.88,224,58,0
240,21,58.5,0.601,-0.411,5,1.36,279,0,0
240,22,89.1,0.487,0.054,3,1.88,388,55,0
240,23,85.2,0.916,-2.391,4,0.6,303,46,0
240,24,70.5,0.291,0.891,2,0.81,291,31,0
240,25,47.6,0.953,-3.005,2,1.4,435,0,1
240,26,59.8,0.919,-2.429,3,1.33,232,0,0
240,27,48.6,0.63,-0.533,7,1.7,332,0,0
240,28,72.7,0.644,-0.595,5,1.28,290,28,0
240,29,36.1,0.918,-2.419,1,1.23,197,0,0
240,30,52.7,0.932,-2.616,5,0.35,92,0,1
240,31,46.8,0.956,-3.069,1,1.27,332,0,1
240,32,56.2,0.703,-0.863,2,1.72,416,0,0
240,33,57.6,0.272,0.987,0,1.52,379,32,0
240,34,73.3,0.293,0.88,2,1.42,185,22,0
240,35,57.3,0.916,-2.393,3,1.78,524,33,0
240,36,36,0.919,-2.426,3,1.54,382,0,0
240,37,64.6,0.919,-2.434,2,2.64,545,16,0
240,38,50.8,0.921,-2.456,1,1.45,394,2,0
240,39,58.1,0.922,-2.476,3,1.22,242,0,0
240,40,51,0.477,0.091,4,0.93,145,0,0
240,41,85,0.613,-0.458,7,1.5,364,33,0
240,42,95,0.692,-0.812,3,1.57,278,178,0
240,43,48.8,0.603,-0.42,1,0.72,135,0,0
240,44,75.6,0.611,-0.45,3,0.92,488,27,0
240,45,57.9,0.613,-0.458,5,1.04,330,0,0
240,46,79.6,0.484,0.066,1,1.48,358,31,0
240,47,73.2,0.932,-2.614,5,1.55,310,34,1
240,48,73,0.986,-4.238,0,0.87,205,0,1
240,49,49.6,0.918,-2.411,4,1.39,397,0,0
240,50,38.3,0.936,-2.687,5,0.7,136,0,1
245,1,72.3,0.607,-0.433,2,0.75,233,0,0
245,2,51.3,0.914,-2.366,4,1.37,366,0,0
245,3,67.8,0.639,-0.571,4,1.29,194,23,0
245,4,94.8,0.476,0.097,4,0.69,134,50,0
245,5,70.8,0.631,-0.538,7,1.96,566,47,0
245,6,59.5,0.481,0.077,4,1.23,318,0,0
245,7,78.5,0.914,-2.363,4,0.48,265,47,0
245,8,45.4,0.921,-2.451,3,1.04,262,0,1
245,9,80.3,0.608,-0.441,4,2.34,337,80,0
245,10,41.6,0.922,-2.467,1,1.55,447,0,0
245,11,96.1,0.616,-0.472,7,1.39,371,130,0
245,12,100,0.643,-0.589,7,1.27,312,103,0
